,geometry,AdmUnitId,infektionenGesamt,todeGesamt,infektionenNeu,todeNeu,infektionen7Tage,inzidenz7Tage,verwaltungseinheit
0,,5362,17637,363,250,2,857,182.1,LK Rhein-Erft-Kreis
1,,5366,7157,225,50,3,246,127.0,LK Euskirchen
2,,5370,10581,355,75,0,319,124.8,LK Heinsberg
3,,5374,12890,212,98,4,570,209.5,LK Oberbergischer Kreis
4,,5378,10130,143,43,4,330,116.5,LK Rheinisch-Bergischer Kreis
5,,5382,21126,475,142,0,752,125.2,LK Rhein-Sieg-Kreis
6,,5512,4893,102,35,0,144,122.5,SK Bottrop
7,,5513,14066,385,111,0,626,241.1,SK Gelsenkirchen
8,,5515,7647,111,76,0,287,91.0,SK Münster
9,,5554,12804,242,94,2,478,128.7,LK Borken
10,,5558,5189,87,30,0,187,84.8,LK Coesfeld
11,,5562,29179,833,204,11,941,153.2,LK Recklinghausen
12,,5566,15352,303,188,1,775,172.9,LK Steinfurt
13,,5570,10776,223,81,0,397,142.9,LK Warendorf
14,,5711,13734,308,148,2,585,175.0,SK Bielefeld
15,,5754,17840,297,131,1,654,179.2,LK Gütersloh
16,,5758,10212,164,75,1,430,171.6,LK Herford
17,,5762,4653,139,27,0,105,74.9,LK Höxter
18,,5766,15781,371,93,4,512,147.3,LK Lippe
19,,5770,13861,251,64,1,466,150.1,LK Minden-Lübbecke
20,,5774,9079,148,94,0,428,139.0,LK Paderborn
21,,5911,14377,212,110,2,558,152.6,SK Bochum
22,,5913,25151,348,237,0,1169,198.7,SK Dortmund
23,,5914,10836,288,109,2,527,279.3,SK Hagen
24,,5915,9200,183,105,1,540,300.1,SK Hamm
25,,5916,8843,253,53,0,400,255.7,SK Herne
26,,5954,12364,335,90,1,447,137.9,LK Ennepe-Ruhr-Kreis
27,,5958,8666,183,90,0,491,189.0,LK Hochsauerlandkreis
28,,5962,18775,360,148,2,843,205.5,LK Märkischer Kreis
29,,5966,5113,144,52,1,237,176.9,LK Olpe
30,,5970,10686,168,99,4,391,141.2,LK Siegen-Wittgenstein
31,,5974,7882,181,55,1,276,91.5,LK Soest
32,,5978,17273,456,132,0,807,204.4,LK Unna
33,,6411,5301,140,48,0,227,142.0,SK Darmstadt
34,,6412,35370,724,246,4,1502,196.8,SK Frankfurt am Main
35,,6413,8356,168,62,0,343,263.3,SK Offenbach
36,,6414,11461,243,65,1,493,177.0,SK Wiesbaden
37,,6431,10101,309,75,0,437,161.6,LK Bergstraße
38,,6432,10164,291,72,0,334,112.1,LK Darmstadt-Dieburg
39,,6433,12856,275,78,1,469,170.1,LK Groß-Gerau
40,,6434,7642,183,49,0,298,125.8,LK Hochtaunuskreis
41,,6435,20576,560,115,1,757,180.0,LK Main-Kinzig-Kreis
42,,6436,8139,202,57,3,341,142.9,LK Main-Taunus-Kreis
43,,6437,4003,162,30,0,140,144.8,LK Odenwaldkreis
44,,6438,16770,514,84,2,523,147.0,LK Offenbach
45,,6439,6511,157,48,2,262,140.0,LK Rheingau-Taunus-Kreis
46,,6440,12212,506,72,5,330,107.0,LK Wetteraukreis
47,,6531,12857,346,104,4,584,215.7,LK Gießen
48,,6532,11278,201,66,1,438,172.9,LK Lahn-Dill-Kreis
49,,6533,8381,255,38,0,319,185.6,LK Limburg-Weilburg
50,,8119,17809,334,263,1,955,223.5,LK Rems-Murr-Kreis
51,,8121,7683,127,72,0,303,239.4,SK Heilbronn
52,,8125,14457,190,152,0,764,221.8,LK Heilbronn
53,,8126,4886,103,73,0,317,281.4,LK Hohenlohekreis
54,,8127,10302,233,117,1,466,236.8,LK Schwäbisch Hall
